company,description,exp_level,location,placing_date,salary,title
DataRobot,"DataRobot accelerates the process of building predictive models to get the most out of valuable data. We work hard to create tools that nascent data scientists can use effectively while also exposing the rich detail and control that data science veterans rely on. Our headquarters is in Boston, with offices in Ukraine, Poland, Singapore, and Tokyo. In order to keep up with the demand for new features in DataRobot, we are looking to grow our Backend engineering team with Mid level engineers. The primary responsibilities of this team include developing and supporting new data science tools, designing and supporting our APIs, and instrumenting DataRobot to integrate with enterprise IT infrastructure. Our team leverages modern technologies to achieve our goals and innovate on our solutions.  Key Responsibilities: Develop, test, and support features of DataRobot. Create and maintain automated unit tests and functional tests. Design infrastructure for new features with the input of peers. Manage individual projects and milestones with abundant communication of progress. Seek, give, and receive critical feedback in a constructive manner, including but not limited to code reviews. Engage in engineering on-call escalated support of services owned by the team  Competencies should be at a level where a manager can have high confidence in an engineer’s ability to deliver complex solutions on time on an agreed-upon roadmap and manage technical risks.  Should be capable of working with product management to get requirements and drive technical feedback on complexity/approaches. Knowledge, Skills & Abilities: 3+ years of proven experience writing high-quality code in a collaborative environment preferably using Python and/or Go Strong Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem-solving, and complexity analysis. An understanding of design for scalability, performance, and reliability. Deep experience with automated testing and test-driven development Demonstrable knowledge of software architecture for large systems Real-world experience decoupling monolithic software into smaller reusable components  Self-motivated and proactive, able to take ownership and deliver results. Ability and willingness to learn about new technologies. Personal drive to get things finished. Effective communication behavior. Fundamental understanding of Kubernetes and Helm. Experience in building and running software systems on Kubernetes clusters in production Hands-on experience with infrastructure provisioning and configuration using Infrastructure as Code (IaC) principles Nice to have: Experience with AWS, Azure, and/or Google Cloud platforms CKAD (Certified Kubernetes Application Developer) certification Publicly reviewable contributions to interesting development projects. Experience supporting user-facing code and APIs. Data Science experience Identity and Access Management experience CI/CD pipeline experience",3-5,"Київ, Львів, віддалено",25 жовтня 2024,,Backend Engineer
HIRETOP,"We are looking for a talented Middle/Senior Python Full-Stack Developer to join our client’s dynamic team. The client is a forward-thinking company from  the Netherlands , focused on developing innovative solutions in the legal industry. They are creating a cutting-edge AI assistant designed to streamline legal processes and enhance productivity. Key Responsibilities: Design, develop, and maintain the legal AI assistant application. Implement robust, scalable, and efficient code using Python. Work with Azure Cloud services for deployment and infrastructure management. Utilize LLMs (Large Language Models) to enhance AI capabilities. Integrate and manage data using FactorDB. Ensure high-quality standards and performance optimization of applications. Requirements: Minimum of 3 years of experience. C1 level proficiency in English, both written and verbal. Python proficiency. Experience with Azure Cloud services  or/and  Familiarity with LLMs Experience with FactorDB is desirable. Previous full-stack web development experience is highly desirable. Strong front-end skills with knowledge of HTML, CSS, and JavaScript frameworks (e.g., React, Angular, or Vue.js). We offer: Full-time, fully remote position Flexible and friendly working environment Healthy work-life balance Long-term contract",3-5,віддалено,22 жовтня 2024,до $5500,Middle/Senior Python Developer
1648 Factory,"The client is a leading Consulting company from Germany. They are now looking to expand the portfolio of products for existing and new clients. You’ll be working on a project which is data-driven. Requirements:   — Excellent problem-solving skills and attention to detail. — 5+ years of experience with Python — Strong communication skills, abstracting and communicating complex technical concepts to technical and business stakeholders. — Able to work independently on all technical aspects of the application (database, backend, frontend) since the candidate will be the sole developer of this app for several months. — Strong backend capabilities and familiarity with Python.  — Additionally, an ideal candidate is already familiar with Flask and Python data/vis libraries (Pandas, Plotly, Dash). Otherwise, the candidate needs to be able to pick up these technologies quickly. — Able to work with databases and do data modeling tasks (PostgreSQL). — Frontend capabilities and being able to refine the front-end of the web application independently. Ideally, the candidate is already familiar with HTMX and Bootstrap. — Upper-intermediate English. — Optional: Familiarity with GenAI concepts (Agents, RAG, relevant libraries like langchain). Responsibilities:   — Developing complex functionality on Python. — Implementing complex user stories. — Work with product owners, developers, and quality analysts to drive delivery and participate in all phases of software development. We offer:   — A working environment with plenty of scope for creativity. — Independent work with a well-rehearsed team in the background. — Remote work from Ukraine. — Competitive salary with a long term contract. — Attractive compensation package (20 days of vacation, 5 sick days — 100% compensation). — Super-experienced international team. — Trust and support from the management team. — High degrees of responsibility and autonomy. — Agile teams where your ideas and solutions are valued.",3-5,віддалено,22 жовтня 2024,,Senior Full-stack Engineer (Python+JS)
ZONE3000,"Your expertise: At least 4 years of professional experience Frameworks: Proficiency in Django, Flask, FastAPI Python ORMs: Hands-on with SQLAlchemy, Django ORM, PonyORM, or SQLObject Deep understanding of Python’s asynchronous programming features Hands-on experience with AWS services (e.g., S3, Lambda, RDS, Forgate, Cloudwatch, etc.) Proficiency in designing, developing, and deploying mid / large-scale applications Understanding of clustering, sharding and scaling techniques and principles. Experience with containerized applications Docker / Kubernetes Experience in the testing frameworks (Pytest, Unittest, etc.) Strong understanding of automated CI / CD principles Experience with OS Linux / Unix and understanding of network protocols (DNS, SMTP, TCP / IP, HTTP, TLS / SSL) Strong understanding of relational database engines MySQL and PSQL Expiriеnce in event driven programming, familiarity with one of queue brokers (Kafka, RabbitMQ, ZeroMQ, SNS+SQS, etc.) Personal skills: Motivated for personal development Proactive Good communication skills Team player Will definitely be a plus:  Leadership or mentorship experience Hands-on experience with Golang or any other compiled language Experience with Web-Hosting control panels (cPanel, Plesk, ISPConfig) Skills in developing SPA applications using Node.js and HTML5 Production experience with MongoDB, ElasticSearch, ClickHouse, InfluxDB, Redis High load Contributing to public open source projects Understanding of the machine learning principles What’s in it for you?  Opportunity to deal with top-notch technologies and approaches in a world-leader product company with millions of customers Opportunity to make a difference for online privacy, freedom of speech, and net neutrality Decent market rate compensation depending on experience and skills Developed corporate culture: no micromanagement, culture based on principles of truth, trust, and transparency “You build it, you own it” mentality in most contexts Support of personal and professional development coverage of costs of external trainings, conferences, professional literature support of experienced colleagues in-house events and trainings regular knowledge sharing in teams English classes and speaking clubs Life-balance support truly flexible schedule, no time-tracking at all 25 working days of vacation 5 days of paid sick leave per month (if necessary) without providing a medical certificate generous maternity leave program Professionally strong environment, friendly and open atmosphere, ability to influence the product development and recognition for it You will be involved into:  Development and support of the Hosting microservices Development and support internal SDK Automation of processes  Design and Develop of the new features for internal and external clients Stream a Service ownership Code review Be an active part of a team for Hosting product development About the company and project:   ZONE3000 is proud to represent its partnership with Namecheap ( www.namecheap.com ). Namecheap was founded in 2000 on the idea that all people deserve value-priced domains delivered through stellar service. Today Namecheap is a leading ICANN-accredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management — and we’re just getting started. Our culture is built on the values that we live every day: the way we work, the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers. As a forward-thinking tech enterprise, we specialize in crafting cutting-edge solutions in the realm of hosting and cloud services. Guided by established frameworks and modern architectural approaches, we consistently challenge the limits of technological potential. We’re excited to grow our skilled engineering team further. We are the Hosting Team, and at the moment we are in the middle of creating new infrastructure for Shared Hosting as part of a huge company idea to rebuild. We need a teammate to share our passion to build and improve hosting product, make it secure, manageable, and smart and easy for consuming. What We’re Looking For: We are in search of an experienced Python Software Engineer who thrives in a dynamic, fast-paced environment. You’ll be working on cutting-edge hosting microservices, automating workflows, and creating robust internal SDKs. If you live and breathe Python, have a knack for AWS services, and are fascinated by the intricacies of system architecture, you’re the one we’re looking for!",3-5,віддалено,23 жовтня 2024,,Python Developer in Hosting Services (Development & Infrastructure) Team (#105)
Anadea,"Anadea Inc is a team of more than 130 IT professionals Our developers are extremely technically talented guys and passionate about their technologies, which is dictated by our highly competitive IT market. We are looking for an exceptional Python developer to work with our team and join our community of talented experts. Required skills: — 3+ years of experience developing python applications. — Experience working with web frameworks (Django, FastAPI). — Experience working with relational databases. — Experience in developing architecture and building services from the ground up. — Experience with containerization technologies. — English Intermediate. — Experience in working with event driven architecture. — Upper intermediate English level Nice to have: — Experience working with PostgreSQL. — Experience using cloud (AWS, GCP). — Familiarity with or a willingness to learn Golang. — Ability to work with front-end technologies Responsibilities: — Engage in direct communication with client representatives. — Contribute to both ongoing projects and the initiation of new product launches. — Shape the technical roadmap, focusing on innovation, efficiency, and growth. — Participate in code reviews, design discussions, and team activities to maintain codebase quality and consistency. We offer: — Work with motivated professionals — Continuous performance reviews and appropriate changes in your compensation package — You can influence the technology choice — Professional growth and support of your personal improvement goals — Medical insurance",3-5,віддалено,24 жовтня 2024,,Python Developer
Intellias,"Over 20 years of market experience, Intellias brings together technologists, creators and innovators in Europe, North and Latin America, and the Middle East. Join our international team and take the mission to solve the advanced tech challenges of tomorrow! What project we have for you Our client is a fast-growing startup that is on a mission to change the deskless work experience. They created a management platform that allows to easily manage all operations, from scheduling to payroll. With over 3.8B deskless workers across the globe, the challenges and potential are endless. Product includes various features: scheduling and time tracking, task management, communication management, chat, knowledge base, help desk, HR & people management, recognition & rewards, documentation, training etc. We are looking for an experienced Senior Product Fullstack Developer, to further develop the management platform. You will build a product that customers love and use on a daily basis, a product that is fun to use, fast, reliable and scalable. You will tackle a wide array of problems from developing a UI that is responsive to the user and fun to choosing the right backend technologies to solve specific product use cases at scale. What you need for this 5+ years of experience working with frontend and backend technologies at scale. 5+ years of experience with Python 3+ years of experience with React with MobX Experience in a wide variety of technical tools such as different DB types, queues, design patterns, and architectures. Mongodb, Mysql — Expert level Message broker: Rabbit MQ — Expert level Experience both with AWS and Azure is needed Ability to understand the pros and cons of different architecture decisions and choose the best option. Experience scaling services to millions of users. Understands the complexity of web technology, constraints, UI/UX. Experience with State Management libraries (mobx, redux) 

 What it’s like to work at Intellias At Intellias, we are committed to being an equal opportunity employer, fostering equity, diversity, and inclusion. We welcome and celebrate the differences of all qualified applicants. Join Intellias for a career where your unique perspectives are not only valued but crucial to our success.",3-5,віддалено,22 жовтня 2024,,Senior FullStack Developer (Python/React)
COMPARUS UA,"Проєкт   TiONA  — платформа для комунікацій співробітників компанії із інтегрованими інструментами для управління процесами.  Основною метою проекту є створення надійної та зручної платформи для спілкування та співпраці для німецького ринку. Процеси розробки базуються на методології Agile. Локація:  офіс в Дніпрі, можливий ремоут (обговорюється окремо) Команда даного проєкту:  10+ досвідчених спеціалістів, що створює додаток, здатний вилучати та структурувати дані зі сканованих чи фотодокументів. Ми активно масштабуємо команду, щоб задовольнити зростаючі потреби ринку та забезпечити швидкий розвиток платформи TiONA. Твої обовʼязки: ти будеш впроваджувати мікросервіси з нуля, долучишся до провадження алгоритмів обробки документів, будеш налаштовувати конфігурацію взаємодії мікросервісів. Твій досвід: Розробка на Python:  маєш глибоке розуміння Python 3.9 та понад 4 роки практичного досвіду розробки на цій мові. Веб-розробка:  впевнено створюєш RESTful веб-сервіси та працюєш з design service API (OpenAPI Swagger contracts). DevOps:  маєш досвід роботи з Docker, OpenShift/Kubernetes та Jenkins для автоматизації процесів розробки та доставки. Обробка даних:  досвідчений у роботі з OCR та обробці PDF документів. Англійська мова:  впевнено спілкуєшся англійською мовою як усно, так і письмово (рівень B1+). Буде перевагою: Backend-розробка:  маєш комерційний досвід розробки backend-частини додатків та розуміння архітектурних рішень. Machine Learning:  маєш досвід роботи з ML/DL моделями та відповідними інструментами. Бази даних:  вмієш працювати з різними типами баз даних, включаючи реляційні (OracleDB, Postgresql) та NoSQL (MongoDB). Організаційні здібності:  вмієш ефективно планувати та організовувати свою роботу. Ти отримаєш: Роботу над масштабним проєктом:  ти будеш брати участь у створенні системи, яка впливає на життя мільйонів людей. Технологічний стек:  зможеш працювати з найсучаснішими технологіями і інструментами. Професійний розвиток:  у тебе буде можливість навчатись та сертифікуватись за професійним напрямком, отримувати нові знання від Onboarding Guide, професійно зростати у мотивуючому оточенні професіоналів. Умови співпраці:  повне технічне оснащення (MacBook, додатковий монітор, комфортне робоче місце), гібрідний формат співпраці без овертаймів. 27 бенефітів , з якими познайомимо на дзвінку з рекрутером. Тебе відділяє від співпраці з нами  3-10 днів,  а саме: Короткий дзвінок-знайомство в зручний для тебе час  (15-20 хвилин). Тестове завдання (за нашим досвідом тобі знадобиться близько 4 годин, на виконання у тебе буде 3 дні). Online call: 15 хв перевірка рівня English, 30 хв детальне обговорення вакансії з Recruiter. Технічна співбесіда з Team Lead та потенційним Tech Onboarding Guide  (60-90 хв). * етапи можуть змінюватись в ході спілкування, але завжди лише з метою можливої подальшої співпраці. Про COMPARUS: 23 роки Comparus GmbH ( Гамбург) та 16 років COMPARUS UA (Дніпро) поєднують стратегічний консалтинг, інноваційні технології та розробку програмного забезпечення для німецького фінансового сектору. Опікуємось як проєктами клієнтів, так і власними продуктами. Приєднуйся до нашої команди, яка створює інноваційні рішення для німецького фінансового сектору! Для швидкого звʼязку пишіть нашій рекрутерці Катерині в Telegram — @Katrina0324",3-5,"Дніпро, віддалено",21 жовтня 2024,,Middle Python Developer
Rolique,"Our customer is a company that provides an end-to-end express delivery network infrastructure + operating system utilizing the US commercial airlines for ecommerce delivery. Product’s zone skips packages to all final mile providers including UPS, Fedex, USPS, regional carriers and gig drivers enabling retailers faster delivery at lower rates. Requirements: ● have 4+ years of commercial experience with Python ● experience working with different databases ● proficiency in designing, building, and maintaining RESTful APIs ● experience working with CI/CD pipelines ● knowledge of cloud environments such as AWS ● strong problem-solving skills and ability to work independently and collaboratively ● english — Upper-intermediate level or higher Would be a plus: ● degree in Computer Science or a related field| ● experience being the Lead of the project What you will do: ● write clean, reusable, testable, and efficient code ● be responsible for developing and maintaining the server-side logic for the company’s products to design and deploy new features and technologies ● be involved in decision-making process of the project ● develop some solutions from scratch Why Rolique? ● we believe in fairness, transparency and helpfulness in everyday work ● your personal development is important to us, therefore we promote the internal transfer of knowledge and strengthen your “zone of genius”",3-5,"Львів, Вроцлав (Польща), віддалено",23 жовтня 2024,,Python developer
Go Wombat,"У тебе є умови і бажання працювати? Любиш та вмієш писати на Python? Тоді тобі до нас! Go Wombat, як завжди, не припиняє пошуки крутих Python-розробників. 

 З вимогами у нас все просто: — Досвід роботи з web-фреймворками Django або FastAPI (experience from 4 years); — Досвід з IAAS і PAAS; — Досвід роботи з реляційними базами, а з нереляційними — буде круто; — Досвід створення і використання RESTful API’s; — Впевнений досвід роботи з системами контролю версій (Git); — Docker — дуже бажано; — Розуміння принципів об’єктно-орієнтованого програмування; — Базове розуміння принципів створення unit-tests; — UNIX-системи не вводять тебе в ступор; — Хороший рівень розмовної і письмової англійської (B2); — Впевнений користувач ПК :D 
			 
					 Go Wombat — це команда талановитих спеціалістів, здебільшого сфокусованих на розробці стабільних і ефективних веб- та мобільних рішень. Ми любимо нестандартні задачі, що потребують застосування найсучасніших технологій. 

 Наші спеціалісти працюють у різних куточках світу, але ми дуже цінуємо живе спілкування. Більшість команди знаходиться в Україні, де розташовані основні офіси компаніі,- у Дніпрі та Івано-Франківську. 

 Основним напрямком нашого розвитку протягом останніх семи років є зростання без втрати технологічного фокусу, довкола якого і була збудована компанія. Єдиний напрямок діяльності у back-end — це Python та числені фреймворки, з яких в першу чергу ми працюємо з Django та FastAPI. На стороні front-end ми працюємо майже виключно з ReactJS. 

 Наша ієрархія дуже проста та еффективна, у нас немає бюрократії, і ми пишаємося цим! 

 Головним чином, Go Wombat працює з клієнтами із Європи, а саме з Великої Британії, Нідерландів та країн Скандинавії. Але також у нас чимало цікавих проектів з США та Ізраілю!",3-5,"Дніпро, Івано-Франківськ, Валенсія (Іспанія), віддалено",14 жовтня 2024,$3000–4000,Python Web Developer
toogeza,"We are  toogeza , a Ukrainian recruiting company that is focused on hiring talents and building teams for tech startups worldwide. People make a difference in the big game, we may help to find the right ones. 

 Currently, we are looking for a  Python Application Engineer  for  Promethean AI . 

 About our client : Join an innovative startup that’s transforming the film and entertainment industry with cutting-edge AI tools. Promethean AI collaborates with industry giants like Disney and PlayStation, offering you the chance to work on exciting projects that shape the future of entertainment technology. 

 What You’ll Do: 

 Develop and Innovate : Build and maintain advanced applications using Python and PyQt. Data Management : Manage and design databases to ensure efficient data handling. Collaborate : Work closely with cross-functional teams to implement new features and improve existing ones. Continuous Learning : Stay ahead of industry trends and contribute to a culture of innovation. Problem-Solve : Tackle challenging technical issues with a proactive and positive attitude. 

 What We’re Looking For: 

 Technical Expertise : Expert knowledge of PyQt and strong proficiency in Python. Solid understanding of databases (SQL). Bonus Skills :  Obsession with user experience and understanding of your code applied in broader context. Experience with REST APIs, AWS/Azure/GCP, Linux, and macOS. Familiarity with Blender, Unreal Engine, Unity, Maya or AI technologies. Startup Mentality : Previous startup experience is a plus but not mandatory. Positive Attitude : Excited to receive feedback and very consistent and proactive initiating communication Passion for Learning : An individual obsessed with learning and continually improving their skills. 

 Interview process: Recruiting Interview (45 min) Culture fit interview to assess your interest in the space Virtual interview with our team to dive deeper into your experience and aspirations. 

 All new hires will undergo a probation period with check-ins at 1 month, and 3 months to ensure mutual fit and guarantee success. 

 Thanks for your interest! In the case of your application, we will review it within 5 working days. If it meets the job requirements, we will arrange a call and will be happy to get to know each other better. Otherwise, we’d love to stay in touch waiting for other opportunities to become available.",3-5,"за кордоном, віддалено",11 жовтня 2024,,Python Application Engineer
Ralabs,"We are seeking a talented Middle Fullstack (Python + React) Engineer to join our dynamic team. What is this project about?  This is a Fintech project from the US, whose main goal is to manage and schedule debts for US customers using a popular payment system. The digital collection strategy allows clients to pay at their own pace on a customizable plan that works for them. The customers have a proprietary online portal to manage their accounts. The platform offers them multiple installment payment options, nearly instant account updates, and even potential discounts for many accounts. What is so great about this project? In the last two years, the client has successfully found their product-market fit, which means they’ve now identified their target customers and are set for further growth. Their recent decision to expand the team by adding two more engineers is a solid indicator of confidence in the future of their business. Additionally, the client prefers long-term relationships with team members, rarely making changes, which reflects their focus on building a strong, lasting team dynamic. Who are the people I am going to work with?   Our team consists of 2 Fullstack, 1 BE, 1 FE Engineers, 2 QAs, DevOps, Designer, and PM. What does the interview process look like? — Interview with the Recruiter — up to 30 min.; — Technical interview — up to 1 h. Requirements:  • At least 3 years of experience with Python; • Hands-on experience with Django; • Experience with React would be a strong plus; • Experience with relational and non-relational databases; • Understanding of AWS services (S3); • Experience with microservices architecture; • Experience with Celery; • At least Upper-Intermediate English. Responsibilities: • Writing stable well-tested software; • Taking part in requirements analysis, task planning, estimation, coding; • Maintaining clean code and other best practices; • Ensuring the code tests coverage; • Suggesting technical and functional improvements for the project; • Maintaining close collaboration with other team members.",3-5,віддалено,16 жовтня 2024,,Middle Fullstack (Python + React) Engineer
ZONE3000,"Your expertise:  Python Expertise: 4 years+ of experience in Python, encompassing both commercial and significant personal projects Knowledge and experience with Javascript OOP Mastery: Deep understanding of Object-Oriented Programming principles and their practical application API Development Skills: Proven track record in developing scalable and efficient APIs, with a focus on BI & Data-centric applications Concurrency and Asynchrony: Proficiency in implementing Multiprocessing / Asynchronous processes to enhance application performance Framework Proficiency: Solid experience with at least one major Python framework (e.g., Django, Celery, FastAPI) Database Expertise: Hands-on experience with at least one relational (e.g., PostgreSQL, MySQL) and one non-relational database (e.g., MongoDB, ClickHouse) Version Control: Proficiency with Git (or similar systems like Bitbucket), demonstrating best practices in code versioning and collaboration Testing Frameworks: Experience with at least one of the major testing frameworks (Pytest, Unittest, etc.), ensuring a robust and reliable codebase CI / CD Tools: Proficiency in using CI / CD tools (e.g., Jenkins) for streamlined and efficient development workflows Containerization: Hands-on experience with Docker, showcasing skills in building, deploying, and managing containerized applications Software Architecture: Strong foundation in software architecture design, especially microservices and event-driven architectures, to support scalable and flexible systems Analytical and Problem-Solving Skills: Exceptional analytical abilities with a knack for translating complex business requirements into technical solutions Cloud Services: Proficiency with at least one major cloud service (AWS, Azure, or GCP), and a thorough understanding of cloud-native architectures Agile Methodology: Experience working in an agile environment, endorsing flexibility, and iterative progress Will definitely be a plus:  Kubernetes (K8s) Proficiency Machine Learning experience Experience with Python ORMs (e.g., SQLAlchemy, Peewee) Foundational Linux Administration and Networking Skills Familiarity with Atlassian Products (Jira, Confluence) Golang Proficiency Experience with WebSockets What’s in it for you? Opportunity to deal with top-notch technologies and approaches in a world-leader product company with millions of customers Opportunity to make a difference for online privacy, freedom of speech, and net neutrality Decent market rate compensation depending on experience and skills Developed corporate culture: no micromanagement, culture based on principles of truth, trust, and transparency “You build it, you own it” mentality in most contexts Support of personal and professional development coverage of costs of external trainings, conferences, professional literature support of experienced colleagues in-house events and trainings regular knowledge sharing in teams English classes and speaking clubs Life-balance support truly flexible schedule, no time-tracking at all 25 working days of vacation 5 days of paid sick leave per month (if necessary) without providing a medical certificate generous maternity leave program Professionally strong environment, friendly and open atmosphere, ability to influence the product development and recognition for it You will be involved into:  Workflow and Process Optimization: Technical Workflows Design: Craft, implement, and refine technical workflows to boost efficiency, collaboration, and code quality, integrating modern CI / CD pipelines and automated testing frameworks Agile Practices: Champion agile methodologies, adapting them to fit the team’s unique dynamic and project requirements, ensuring agile ceremonies are effectively conducted Innovation and Technical Advocacy: Research and Innovation: Dedicate time to personal and team-wide research in new technologies, frameworks, and methodologies, fostering an environment of innovation and experimentation Technical Representation: Serve as the technical voice in cross-departmental meetings, articulating technical solutions and advocating for necessary resources or changes Strategic and Operational Balance: Strategic Direction: While focusing on hands-on work, align technical direction with strategic business objectives, adapting to evolving market and organizational needs Operational Excellence: Directly contribute to and oversee day-to-day operations, ensuring the team’s efforts meet current demands while laying the groundwork for future success About the company and project: ZONE3000 is proud to represent its partnership with Namecheap ( www.namecheap.com ). Namecheap was founded in 2000 on the idea that all people deserve value-priced domains delivered through stellar service. Today Namecheap is a leading ICANN-accredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management — and we’re just getting started. Our culture is built on the values that we live every day: the way we work, the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers. At Namecheap, we are looking for a dynamic and experienced Technical Leader with a strong background in BI / ML and Python to spearhead our newly established Intelligence Integration Team (IIT). This team is set to play a pivotal role within our organization, developing both existing and new microservices and infrastructure to integrate the capabilities generated by our BI business unit seamlessly. This integration spans various domains of business intelligence and machine learning, facilitating a crucial connection between raw BI & ML outputs and their application across the organization. This includes interfacing with technical teams, as well as supporting business operations such as product development, customer support, and executive decision-making. The IIT is tasked with adhering to and promoting the general architecture and technical standards as defined by the Technology Business Unit of Namecheap. Celebrating over 23 years of excellence, Namecheap stands as a leading technology firm, excelling in domain registration, web hosting, and many internet services. With our roots deeply embedded in the ethos of security, privacy, and reliability, we have become the 2nd largest domain registry globally. Our mission — to democratize access to domains and empower individuals and businesses to leverage the full potential of the web — is what propels us forward. As innovators, we continuously push the envelope in online presence management, ensuring ease of access and affordability for establishing a digital identity. By joining us, you become an integral part of a forward-thinking team committed to keeping the Internet open and accessible for all. Our endeavors also include the launch of  Spaceship.com  , a novel reimagination of domain registrar and online services. As a Technical Leader, you will contribute to Namecheap and Spaceship, driving innovation and excellence. Our organization leverages advanced Business Intelligence (BI) systems to process approximately 100GB of data daily, with internal storage exceeding 100TB across various data types. We currently have 25 models deployed in production, with a total of 35 machine learning models under development and testing. These models, which we update and expand at a rate of  1-2  every  2-3 months,  aim for a benchmark accuracy of  96-97%.  Our data processing infrastructure utilizes a wide range of sources, including hundreds of databases, APIs, and crawlers, and operates with a standard one-day latency for business metrics calculations while supporting real-time KPIs. Serving an internal user base of over 2000 employees, we handle approximately  10-15  requests daily, with 200 personalized licenses for daily BI tool usage. Model updates are scheduled according to business needs and can vary from daily to quarterly, ensuring continuous improvement in our  operations.st  amounts of data and complex machine learning models, optimizing the flow of business insights and decision-making processes across the organization. Here are some data points for you to get an idea of what our BI team is dealing with on the daily basis.",3-5,віддалено,14 жовтня 2024,,Senior Python Developer in Intelligence Integration Team (#808)
Kindgeek,"We are currently seeking an experienced Python Developer to join our team for a challenging project of building a core banking system. REQUIREMENTS We’re looking for  Python Back End Developer who has : At least  3-4  years of experience developing high-load scalable applications; Strong knowledge of Architecture and Design patterns; Understanding of distributed systems and integrations; Experience in delivering good testing practices; Strong knowledge of Python; Strong knowledge of SQL and relational databases (PostgreSQL preferable); Experience with Fast API or Flask, py.test, JavaScript, design and implement REST API; Excellent communication and presentation skills; Outstanding attention to detail; Min. B2 (Upper Intermediate) English level;  A customer-centric, empathetic mindset with excellent listening skills; An ability to focus on what counts, creating simple solutions to deliver fast results; A passion for learning and a desire for self-improvement. Would be a plus Experience working with financial institutions or in the fintech industry; Experience with AWS, Kubernetes, Hashicorp Vault, Keycloak. RESPONSIBILITIES We’re looking for Python Back End Developer who will : Work closely with the Product Owner, Business Analyst and Project Manager to identify the key architecture drivers and Non-Functional Requirements for a core banking product; Design microservices architecture considering elaborated requirements; Present and agree on the architecture with the Product Owner and CTO; Match the best suitable frameworks and tools for the designed architecture; Constantly add value to the experience of our client by writing readable, testable and efficient code; Maintain and develop engineering culture within the product implementation team. ABOUT PROJECT Description A regulated Payments Institution specializing in Acquiring, Issuing and Mobile Payments with a license granted by the Central Bank of Cyprus. We provide online merchants with reliable and effective acquiring solutions. Our vision is to empower business growth through innovation in payments. Our mission is to be the people that take care of the payments and the platform that powers the growth. Client Country",3-5,"Львів, віддалено",11 жовтня 2024,,Python Back End Developer
ReOriginal (The Originals),"Про вакансію   Ми оперуємо як продуктова компанія та іноваційний е-коммерс рітейл. Зараз активно створюємо набір внутрішніх продуктів для наших потреб у подальшому маштабуванні. Наразі ми шукаємо амбітного Python розробника у нашу внутрішню продуктову команду, яка займається стратегічним розвитком наших операційних процесів.    — Відповідальність у розробці бекенд компонентів на FastAPI здатних до модульності та маштабування — Колаборація та робота в кросс функціональній команді з фронтенд розробниками, СPO — Постійний розвиток та вклад в технічний розвиток продукту, адаптація нових технологій та продуктів до проекту   Технічні вимоги до кандидата   Python 3, досвід роботи з асинхронними бібліотеками FastAPI PostgresSQL, SLQAlchemy, SQLModel Git, GitHub Docker   Буде плюсом DevOps досвід в побудові CI/CD Досвід роботи з Kubernetes Досвід в адмініструванні веб серверів Nginx, Uvicorn   Буде ще більшим плюсом: JavaScript + Vue.js HTML + CSS",3-5,віддалено,15 жовтня 2024,$1500–3000,Python Developer
Intellias,"Let’s breathe life into great tech ideas! With more than 3 000 people globally, Intellias is a company where benchmark technological solutions are born. Join in and take your part in digitalizing the world. What project we have for you Extract scenes from the real world allowing top automotive companies to simulate their autonomous driving solutions. 

 What you will do Participate in the development, and maintenance of Python applications.  Troubleshoot and debug applications to resolve issues.  Write clean, efficient, and self-documented code.  Implement automation tests.  Collaborate with team members to identify and solve technical problems.  Participate in code reviews to ensure code quality and maintainability.  Work with stakeholders to gather and analyze requirements and provide technical solutions.  Monitor application performance and provide optimization recommendations.  Stay up to date with the latest technologies and industry trends.  

 What you need for this 6+ years of experience working as a Python Engineer or in a similar role.  Strong proficiency in Python programming and knowledge of object-oriented programming principles.  Solid understanding of algorithms and data structures.  Experience with OpenSearch / Elastic Search i.e. Understanding how the index’s works and how the layer are stitched together, also how to create schemas. Experience in Prompt Engineering to maintain, enhance or modify the prompts used for AWS Bedrock. Proficiency in ETL, protobuf.  Experience with Amazon Web Services (AWS).  Experience with API Gateway, Lambda’s, Step-Functions. Proficiency in version control systems, particularly Git.  Knowledge of Agile methodologies, such as Scrum, and experience working in Agile teams.  Strong problem-solving skills and the ability to debug and optimize code.  Excellent communication and teamwork skills, with the ability to collaborate effectively with cross-functional teams.  Will be a plus: Experience with HDLive maps, Open Drive, etc.  

 What it’s like to work at Intellias At Intellias, we are committed to being an equal opportunity employer, fostering equity, diversity, and inclusion. We welcome and celebrate the differences of all qualified applicants. Join Intellias for a career where your unique perspectives are not only valued but crucial to our success.",3-5,віддалено,18 жовтня 2024,,Lead/Principal Python Engineer
